code,name,tehsil,city
4475,GOVT.H.S.S. INGORIYA,BADNAGAR,UJJAIN
4476,GOVT M.S. SUNDRABAD,BADNAGAR,UJJAIN
4477,GOVT. P._M. SCHOOL SUNDRABAD,BADNAGAR,UJJAIN
4478,SARITA M. SCHOOL,BADNAGAR,UJJAIN
4479,GOVT. M. S. LOHANA,BADNAGAR,UJJAIN
4480,GOVT. MAHAVIDHYALAY,BADNAGAR,UJJAIN
4481,GOVT. P._M. SCHOOL,BADNAGAR,UJJAIN
4482,SHAIL PUBLIC SCHOOL INGURIYA CHOPATI,BADNAGAR,UJJAIN
4484,BHARTIYA GYAN MANDIR H.S.S. JHANGIRPUR,BADNAGAR,UJJAIN
4485,GOVT. P._M. S. KHADOTIYA,BADNAGAR,UJJAIN
4487,GYAN SAROVAR VIDHYA NIKETAN,KHACHROD,UJJAIN
4488,GOVT M.S. CHIROLA KALA,KHACHROD,UJJAIN
4492,GOVT.P._M. S. DATARWA,BADNAGAR,UJJAIN
4495,GOVT. PRANNOT P.S. NAYA BISAHEDA,BADNAGAR,UJJAIN
5061,KOUTILY  EDUCATION ACADEMY,SHAJAPUR,SHAJAPUR
5551,SHIVAJI H.S.S. BIRLAGRAM,NAGDA,UJJAIN
5552,GOVT P.S. AJIMAWAD PARDI,NAGDA,UJJAIN
5553,GOVT M.S. AJIMAWAD PARDI,NAGDA,UJJAIN
5554,GOVT M.S. BHATISUDA,NAGDA,UJJAIN
5555,JAWAHAR NAVODAY SCHOOL,NAGDA,UJJAIN
5556,GOVT P.S. BHATISUDA,NAGDA,UJJAIN
5557,NEW LOOK CONVENT,NAGDA,UJJAIN
5558,ADITYA BIRLA SENIOR SECONDARY SCHOOL,NAGDA,UJJAIN
5559,JAYANT MIDDLE SCHOOL,NAGDA,UJJAIN
5560,GOVT H.S.S. BERCHHA,NAGDA,UJJAIN
5561,VERDHAMAN CONVENT H.S.S.,NAGDA,UJJAIN
5562,BAL VINAY MANDIR,NAGDA,UJJAIN
5563,GURUKUL H.S.S. SHIVPURA,NAGDA,UJJAIN
5564,GOVT GIRLS H.S.S.,NAGDA,UJJAIN
5565,GOVT M. S. ALSI,NAGDA,UJJAIN
5566,MOTHER MARRY H.S.SCHOOL NAGDA,NAGDA,UJJAIN
5567,ABHILASHA PUBLIC SCHOOL,NAGDA,UJJAIN
5568,GOVT. M. S. BERCHHA,NAGDA,UJJAIN
5569,YAS PUBLIC SENIOR SECONDARY SCHOOL,NAGDA,UJJAIN
5570,MARUTI H.S.S. BIRLAGRAM,NAGDA,UJJAIN
5571,LAKSHYA INTERNATIONAL SCHOOL,NAGDA,UJJAIN
5572,CHILDREN'S CHOICE SCHOOL,NAGDA,UJJAIN
5573,GOVT M.S. NIPANIYA NAGADA,NAGDA,UJJAIN
5574,JIGYASA CONVENT SCHOOL,NAGDA,UJJAIN
5575,AGROHA H.S.S. JAWAHAR MARG,NAGDA,UJJAIN
5576,GOVT. BOYS M.S. KRAMANK 2,NAGDA,UJJAIN
5577,ADITYA BIRLA H.S.SCHOOL,NAGDA,UJJAIN
5578,AGOSHDEEP INTERNATIONAL PUBLIC SCHOOL,NAGDA,UJJAIN
5579,VISION PUBLIC SCHOOL,NAGDA,UJJAIN
5580,ADARSH H.S. SCHOOL,NAGDA,UJJAIN
5581,JANME JAY PADLAYAKALA,NAGDA,UJJAIN
5582,GOVT. BOYS H.S. SCHOOL,NAGDA,UJJAIN
5583,ADITY VIDHYA MANDIR H.S.SCHOOL NAGDA,NAGDA,UJJAIN
5584,JAI HIND VIDHYA MANDIR,NAGDA,UJJAIN
5585,NEEL KAMAL VIDHYA MANDIR RAJALA,NAGDA,UJJAIN
5586,DIVINE PUBLIC S. BEDAWAN,NAGDA,UJJAIN
5587,GOVT M.S. BEDAWAN,NAGDA,UJJAIN
5588,GOVT. H.S. BEDAWAN,NAGDA,UJJAIN
5589,SARASWATI SHISHU MANDIR BEDAWAN,NAGDA,UJJAIN
5590,SANSKAR H.S.S. UNHEL,NAGDA,UJJAIN
5591,GOVT. M.S. RAILWAY STATION UNHEL,NAGDA,UJJAIN
5592,GOVT. P.S. BARKHEDA MODEL,NAGDA,UJJAIN
5593,GOVT. M.S. BARKHEDA MODEL,NAGDA,UJJAIN
5594,GOVT H.S.S. RUPETA,NAGDA,UJJAIN
5595,ADARSH VINAY H.S.S. RUPETA,NAGDA,UJJAIN
5596,GOVT PRI._M.S. JALODIYA JAGIR,NAGDA,UJJAIN
5597,GOVT. P.S. ROHALKHURD,NAGDA,UJJAIN
5598,VIMLA CONVENT H.S. NAVADA UNHEL,NAGDA,UJJAIN
6601,GOVT. M. SCHOOL PATPALA,UJJAIN,UJJAIN
6651,GYAN SANSKAR PUBLIC AMBODIYA,GHATIYA,UJJAIN
6652,GOVT. M. S. AMBODIYA,GHATIYA,UJJAIN
6653,GOVT. MIDDLE SCHOOL SILODA RAWAL,GHATIYA,UJJAIN
6654,SANJIWANI VIDHYA MANDIR AMBODIYA,GHATIYA,UJJAIN
6655,GOVT. BOYS M.S. BHAIRAVGARH,GHATIYA,UJJAIN
6656,GOVT.GIRLS M.S. BHAIRAVGARH,GHATIYA,UJJAIN
